# maelstrom - GimmeMotifs version 0.10.0b4
# method: rf with motif score
# motif table: mm10.most_variable.out/motif.score.txt.gz
# activity values: feature importances from fitted Random Forest model
	Bcell	CD4	CD8	CMP	Erythroblast	GMP	MEP	MPP	Monocytes	Nkcell
bHLH_T-box_M5449_1.01	0.00157886816953	0.00181094039489	0.00156539666855	0.0017074684031	0.0016001273511	0.00176581703722	0.00112990251762	0.00109729496277	0.0012110965772	0.00506165111679
bZIP_M3883_1.01	0.00122135824016	0.00177022207913	0.00208763155001	0.00144886232376	0.00104413518674	0.00169542782778	0.00125235008453	0.00151298502983	0.00240549169994	0.00137197076231
bZIP_M3882_1.01	0.00113943893007	0.00172056595654	0.00217569581797	0.00135339327871	0.00200987682709	0.00185471444915	0.00178352042165	0.00144568380658	0.00168220966325	0.00151102057413
bZIP_Average_149	0.000990637163562	0.0033601261515	0.00156590863417	0.00168333792055	0.00144766657647	0.00184196431074	0.00106569622548	0.00133101780233	0.00339692594771	0.00195019316747
bZIP_Average_67	0.0022556800737	0.00118739971121	0.00137869906461	0.00219379081926	0.00184941098299	0.0136870597876	0.00131317570929	0.00134789877533	0.00913622193458	0.00104740293591
bZIP_Average_146	0.000693865405677	0.000763459173222	0.000970289192674	0.000511618573169	0.000470418162481	0.000437255447653	0.000590340265902	0.000471850915772	0.00332407745434	0.00120889959284
bZIP_Average_117	0.000631456107199	0.000765603313708	0.00160529776177	0.000375277746373	0.000621886167352	0.000708312242206	0.000593190388589	0.000945727085864	0.00360613295651	0.00127603631661
bZIP_M4371_1.01	0.00166753929151	0.00175187354977	0.00190483305219	0.00178100763178	0.00165435188769	0.00175320951199	0.00144122522299	0.00160650015699	0.00230659815957	0.00128993414572
bZIP_M6050_1.01	0.00100560000655	0.00228899018854	0.00183967774195	0.00160537221644	0.0013757936645	0.00162581535376	0.00112986829046	0.00125555004087	0.0021552497205	0.00170443199536
bZIP_Average_154	0.00149291929558	0.000923242309144	0.000955880663332	0.00148309638899	0.00145707617324	0.00117478394774	0.00120030230505	0.000677367057774	0.0010866623341	0.000652198916304
bZIP_M6149_1.01	0.00222922120478	0.00139969869936	0.00162062985282	0.00104144288791	0.00198436439131	0.00192435088714	0.00150305233537	0.00202902562628	0.00126681805826	0.00142077858496
bZIP_Average_148	0.00120964396088	0.00149719440707	0.00145486647967	0.00327492050849	0.00329255152432	0.00209625389094	0.00117274845179	0.000924304164906	0.00633458835209	0.00140604646731
bZIP_Average_145	0.00147170358172	0.00158922493673	0.00120200542261	0.00204522959241	0.00153417698758	0.0102484503594	0.00127058750437	0.00136153952938	0.00489749814832	0.000953968213631
bZIP_M0309_1.01	0.00119246358197	0.00185198763625	0.00167328913288	0.00155726130588	0.00167350099712	0.00495286217244	0.000994965531552	0.00141387263151	0.00614745336897	0.00135247932274
bZIP_Average_153	0.00244799589986	0.00253618412509	0.00173154535622	0.00167131312608	0.00192939393042	0.0460619022917	0.00315829215305	0.00101030348941	0.017191209356	0.00154230622843
bZIP_M2910_1.01	0.00254169080808	0.00202471749356	0.002057434854	0.00166809974515	0.00162732967565	0.0131510186804	0.00116318297047	0.00141309116218	0.00545606292546	0.00141408901927
bZIP_Average_141	0.00212762336746	0.00131043518033	0.00150599705552	0.00175891417586	0.00186365200809	0.0271108149786	0.00197598475231	0.000780832254687	0.0148139598336	0.00170564064867
bZIP_M6006_1.01	0.00165071868124	0.00192668958032	0.00130579274929	0.00174427052901	0.00173771192079	0.00538398145994	0.00141856950448	0.00120210172766	0.00199201291847	0.00152369915706
bZIP_Average_143	0.0013598615429	0.00275894975056	0.00162816715632	0.00228132832953	0.00136326171868	0.00154201279796	0.00118863897695	0.00107635713703	0.00224552306705	0.00140153279109
