	HSC	MPP	LMPP	CMP	GMP	MEP	Mono	CD4	CD8	Nkcell	Bcell	CLP	Ery
C2H2_ZF_M5334_1.01	-0.0	-0.0	2.18852777526	-0.0	-0.0	-0.0	0.355359026885	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
C2H2_ZF_M5333_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	2.06521969814
C2H2_ZF_M5778_1.01	-0.0	0.365672909758	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
C2H2_ZF_M5799_1.01	-0.0	-0.0	0.119424108094	-0.0	-0.0	-0.0	-0.0	2.58439929725	4.84699676802	-0.0	-0.0	-0.0	-0.0
C2H2_ZF_M6360_1.01	-0.0	-0.0	-0.0	-0.0	0.69010077951	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
C2H2_ZF_M5793_1.01	-0.0	-0.0	1.01131533725	-0.0	-0.0	-0.0	-0.0	-0.0	0.441932308254	-0.0	-0.0	-0.0	-0.0
C2H2_ZF_M5794_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
C2H2_ZF_M5930_1.01	-0.0	-0.0	-0.0	-0.0	2.6001282719	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
C2H2_ZF_Average_167	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	1.82118717089	-0.0	-0.0	-0.0	-0.0	-0.0	3.00542910781
C2H2_ZF_Average_137	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	1.15442080476	-0.0	-0.0	0.978614241315	-0.0	-0.0	2.49089731382
C2H2_ZF_M0392_1.01	-0.0	-0.0	-0.0	-0.0	2.92951089145	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.434003866187
C2H2_ZF_M5791_1.01	-0.0	-0.0	-0.0	0.455907374234	1.31243287741	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
C2H2_ZF_Average_191	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
C2H2_ZF_Average_177	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.73113871275	-0.0	-0.0	-0.0	-0.0
