# maelstrom - GimmeMotifs version 0.10.0b4
# method: rf with motif score
# motif table: hg19.most_variable.out/motif.score.txt.gz
# activity values: feature importances from fitted Random Forest model
	Bcell	CD4	CD8	CLP	CMP	Ery	GMP	HSC	LMPP	MEP	MPP	Mono	Nkcell
bHLH_M6260_1.01	0.00164584042835	0.00130373402536	0.00161016819007	0.0030356491693	0.00134009976127	0.000896460710346	0.00140357710867	0.00145296403751	0.00173104603028	0.00215149755021	0.0021296116296	0.00121593943453	0.00194853093376
bHLH_Average_27	0.00114062388292	0.0015099376658	0.00201554616321	0.00172534383163	0.00206261301496	0.00171158087953	0.0016608872059	0.00106390609534	0.00172340012874	0.00200638222844	0.00189753874795	0.00157260113167	0.00164824486352
bHLH_M5981_1.01	0.00132651884595	0.00184692660419	0.00129944201931	0.00115396214626	0.00217871885463	0.00184121809839	0.00147244248998	0.00168833939195	0.001947750853	0.00172570280094	0.00210786673814	0.0020003956756	0.00132444107882
bHLH_Average_154	0.000933732718768	0.0022619956024	0.00181869227028	0.0019260803028	0.00219221178068	0.00136402047276	0.00139647679981	0.00171210537158	0.00252243981596	0.00150067481831	0.00195625607884	0.0014760370019	0.00149379343586
bHLH_Average_164	0.00204393112522	0.00129115409811	0.00095935315922	0.000815990566357	0.00108664100513	0.00101485398092	0.000909877407664	0.00136519511013	0.00135081269351	0.00127728658501	0.000870001207862	0.00103668113449	0.00100670044372
bHLH_Average_148	0.00232143829089	0.00128272500119	0.00171485230483	0.000789103402623	0.00149512707116	0.00117225849756	0.00124610475737	0.00117449287677	0.00150156590578	0.00188825098796	0.00102787168761	0.00103977967096	0.00131143216613
bHLH_Average_160	0.00131365464026	0.00147199233146	0.00177193954467	0.00136111615406	0.00194124930982	0.00105695883334	0.00118169804152	0.00134119864297	0.00149216322529	0.00106847275742	0.00191474461821	0.00114964617844	0.00118278979028
bHLH_M5980_1.01	0.00127102944445	0.00179540921576	0.00192038289988	0.00182634383564	0.00176252032638	0.00187828060407	0.00159752056516	0.00216170472299	0.00145862913693	0.00193857615397	0.00211947934614	0.00142781238773	0.0010173260207
bHLH_M0177_1.01	0.00158728754193	0.00201319731172	0.00192746053163	0.00136896563071	0.00130009727651	0.0012109382232	0.00159234624048	0.00156837191698	0.00157203628812	0.00142312179507	0.00144268614208	0.00113982170272	0.00190269545643
bHLH_Average_145	0.00200701787616	0.00268064715926	0.00207928286454	0.0036355875119	0.00146712905649	0.00108412507123	0.00205087820444	0.00156659078608	0.00189218610028	0.0016230780286	0.00144702046554	0.00211861110004	0.00145439076614
